,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-06-30),連續三年EPS均大於0且近一季EPS也大於0(2021-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-06-30),近6月累積營收年增率連2個月增加(2021-09-10),近12月累積營收年增率連2個月增加(2021-09-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-06-30),ROE連續三季成長，且近一季ROE>10%(2021-03-31),毛利率連續三季成長，且近一季毛利率>25%(2021-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5347世界', 10)",6456GIS-KY,2915潤泰全,2915潤泰全,4576大銀微系統,2915潤泰全,6505台塑化,6505台塑化,1104環泥,2035唐榮,2454聯發科,2534宏盛,,2408南亞科,1476儒鴻,2458義隆,1201味全,5880合庫金,2002中鋼,,
1,"('8016矽創', 9)",3090日電貿,2534宏盛,2634漢翔,3450聯鈞,2534宏盛,1301台塑,2412中華電,1234黑松,3481群創,1723中碳,1808潤隆,,2883開發金,6239力成,2883開發金,1903士紙,2345智邦,3293鈊象,,
2,"('3045台灣大', 8)",2373震旦行,5508永信建,3530晶相光,1808潤隆,6191精成科,2303聯電,1301台塑,1319東陽,2409友達,6592和潤企業,2454聯發科,,1201味全,2103台橡,6504南六,2102泰豐,3532台勝科,2015豐興,,
3,"('2395研華', 8)",2383台光電,2373震旦行,2534宏盛,9802鈺齊-KY,5508永信建,1303南亞,2303聯電,1402遠東新,2637慧洋-KY,5347世界,2451創見,,2892第一金,2027大成鋼,3708上緯投控,3044健鼎,3293鈊象,2388威盛,,
4,"('1301台塑', 8)",3078僑威,1201味全,6456GIS-KY,8358金居,3450聯鈞,1326台化,1303南亞,1444力麗,1305華夏,2409友達,3481群創,,3653健策,2897王道銀行,6451訊芯-KY,3293鈊象,1210大成,6146耕興,,
5,"('6146耕興', 8)",6803崑鼎,8406金可-KY,6191精成科,1723中碳,1309台達化,2002中鋼,1326台化,1504東元,1440南紡,9943好樂迪,5347世界,,2880華南金,2458義隆,2905三商,5522遠雄,2106建大,2351順德,,
6,"('5425台半', 8)",2385群光,6464台數科,5508永信建,5347世界,2373震旦行,3045台灣大,2002中鋼,1532勤美,3049和鑫,1303南亞,2409友達,,3596智易,2355敬鵬,4968立積,,2439美律,6533晶心科,,
7,"('2455全新', 8)",5347世界,2454聯發科,3450聯鈞,2633台灣高鐵,2383台光電,2884玉山金,1216統一,1589永冠-KY,6505台塑化,3037欣興,2637慧洋-KY,,1303南亞,2408南亞科,3260威剛,,2606裕民,,,
8,"('3293鈊象', 8)",9943好樂迪,9925新保,3090日電貿,1477聚陽,3078僑威,6488環球晶,3711日月光投控,2312金寶,1536和大,6116彩晶,3049和鑫,,2633台灣高鐵,1515力山,,,6005群益證,,,
9,"('3563牧德', 8)",4107邦特,5347世界,1309台達化,4167松瑞藥,8406金可-KY,2892第一金,3045台灣大,2317鴻海,8255朋程,3545敦泰,1303南亞,,1301台塑,2883開發金,,,2451創見,,,
